Timestamp,Age,Gender,What is your highest level of education?,Current status ,"If you are a student, what is your current or most recent field of study?",What career do you aspire to pursue?,Have you ever received any form of career guidance or counselling? ,"If yes, where did you receive this guidance?",What skills do you believe are most important for your desired career?,What areas do you feel you need the most guidance in?,What are the main challenges you face in pursuing your desired career? ,How do you currently access information about careers?,How would you prefer to receive career guidance?,How comfortable are you with using online platforms for career guidance?,How satisfied are you with the current level of career guidance available to you?,How important do you believe career guidance is for your future success?,What features would you find most useful in an AI-based career guidance system?,Do you have any concerns about using AI for career guidance? ,How likely are you to use an AI-based career guidance system if it were available?,What suggestions do you have for improving career guidance services in Uganda?,Are you planning to pursue further education or training?,Are you currently looking for a job or planning to start a job search soon? ,Are you considering starting your own business as a career option?  ,Do you have access to financial resources or scholarships to support your education or career goals? ,How much influence does your family have on your career choices?,"Do you have regular access to a smartphone, computer, or the internet?",,,
2024/10/02 8:17:29 AM GMT+3,22,Male,UACE certificate,Employed,Software Engineering,Software developer,Yes,Online,Being able to learn quickly and have the fundamentals down,Choosing a career,Lack of information,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Accuracy,Very likely,"Having a better understanding of the job market in Uganda, what’s influencing it and how to get one’s way around it with the current resources available",Yes,No,Yes,Not sure,Some,Yes,,,
2024/10/02 8:17:42 AM GMT+3,21,Male,UACE certificate,Student,Software engineering ,Making money ,Yes,Family,"Programming, communication skills, teamwork ",Skill development,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Important,Personalized recommendations;Skill assessment;Job matching,Data privacy;Accuracy,Likely,,Yes,Yes,Maybe,Yes,Some,Yes,,,
2024/10/02 8:18:09 AM GMT+3,22,Male,UACE certificate,Unemployed,Bsc Mechanical Engineering ,Control systems engineering ,Yes,Family,Analytical skills ,Choosing a career,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Neutral,Job matching;Resource library,Data privacy;Accuracy,Neutral,,Maybe,Yes,Yes,No,Some,Yes,,,
2024/10/02 8:19:32 AM GMT+3,21,Female,Bachelor’s degree,Student,Engineering ,Protection engineer ,Yes,School,Technical skills ,Further education,Limited opportunities,Internet,Online tools,Somewhat comfortable,Neutral,Important,Skill assessment;Job matching,Data privacy,Very likely,Encourage more start up companies,Yes,No,No,Not sure,A lot,Yes,,,
2024/10/02 8:20:41 AM GMT+3,21,Female,UCE certificate,Student,Nursing ,Pediatric nursing ,No,,Discipline and confidence ,Skill development,Financial constraints,Internet,Online tools,Very comfortable,Satisfied,Very important,Job matching,Access,Likely,I don’t know yet,Yes,No,Yes,No,None,Yes,,,
2024/10/02 8:21:47 AM GMT+3,22,Male,UACE certificate,Student,Architecture ,Architecture ,Yes,School,Creative art,Choosing a career,Financial constraints,Internet,One-on-one counseling,Not comfortable,Neutral,Very important,Personalized recommendations,Accuracy,Neutral,We have to be groomed from a tender age.. and we have to start our careers very early in school,Yes,Yes,Yes,No,Some,Yes,,,
2024/10/02 8:21:53 AM GMT+3,23,Female,Bachelor’s degree,Student,Architecture ,Architecture ,Yes,School,Drawing skills ,Skill development,Limited opportunities,Internet,Online tools,Somewhat comfortable,Neutral,Very important,Skill assessment,Data privacy,Likely,,Yes,Yes,No,No,Some,Yes,,,
2024/10/02 8:23:19 AM GMT+3,23,Female,Bachelor’s degree,Student,Business Administration ,International Business ,Yes,School,"Hardworking,commitment and dedication ",Job search,Job search,Teachers,Workshops,Very comfortable,Very satisfied,Very important,Job matching,Accuracy,Very likely,Creating more job opportunities ,Yes,Yes,Yes,Yes,A lot,Yes,,,
2024/10/02 8:23:43 AM GMT+3,27,Male,Bachelor’s degree,Employed,,,Yes,School,Analytical skills ,Further education,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Important,Skill assessment,Access,Very likely,,Yes,No,Yes,No,Some,Yes,,,
2024/10/02 8:25:04 AM GMT+3,22,Female,UACE certificate,Student,Law,Law,Yes,School,"Problem solving, communication.",Further education,Limited opportunities,Teachers,Workshops,Somewhat comfortable,Dissatisfied,Very important,Personalized recommendations,Data privacy,Likely,It should start earlier,Yes,Yes,Yes,Not sure,Some,Yes,,,
2024/10/02 8:27:21 AM GMT+3,21,Female,Bachelor’s degree,Student,,Honestly i dont know ,Maybe,School,Am not sure,Choosing a career,Lack of information,Family,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Personalized recommendations,Access,Neutral,Providing more information I think ,Yes,Yes,Yes,Not sure,A lot,Yes,,,
2024/10/02 8:30:22 AM GMT+3,23,Male,UACE certificate,Student,Software engineering ,Blockchain developer ,Yes,Career guidance counselor,Programming and stocks trading ,Skill development,Financial constraints,Internet,Online tools,Very comfortable,Neutral,Very important,Skill assessment;Job matching,Data privacy;Accuracy,Very likely,Awareness to people that's more important ,Yes,Yes,Yes,No,A lot,Yes,,,
2024/10/02 8:32:38 AM GMT+3,22,Male,UACE certificate,Student,Bachelor of Science in Software Engineering ,Big Data analytics ,No,,Efficiency in technical skills and communication skills ,Skill development,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Dissatisfied,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy;Accuracy,Likely,Holding more career guidance meetings especially in high schools ,Yes,Maybe,Maybe,Yes,A lot,Yes,,,
2024/10/02 8:33:52 AM GMT+3,18-22,Male,UACE certificate,Student,Engineering ,Design engineering ,Yes,Career guidance counselor,Critical thinking and creativity ,Skill development,Lack of information,Internet,Workshops,Very comfortable,Very satisfied,Very important,Personalized recommendations;Resource library,Accuracy,Very likely,They should be able to connect me to a job,Yes,No,Yes,Yes,Some,Yes,,,
2024/10/02 8:38:56 AM GMT+3,29-35,Male,Bachelor’s degree,Employed,,,Yes,School,Data Analytics,Further education,Limited opportunities,Internet,Workshops,Somewhat comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy;Accuracy,Likely,Should be more skill centred than academic centred ,Yes,Yes,Yes,Yes,A lot,Yes,,,
2024/10/02 8:41:21 AM GMT+3,23-28,Male,Bachelor’s degree,Student,Mechanical Engineering ,Engineering & software related,Yes,School,Innovative skill and high level of competence in software and business management ,Further education,Financial constraints,Internet,Online tools,Very comfortable,Satisfied,Very important,Personalized recommendations;Job matching;Resource library,Data privacy,Very likely,More Government companies should reach out to students to let them know how helpful they can be. For example Uganda Industrial Research Institute is key to students of Software eng. Mechanical eng. and many other fields given the resources that the Institute has to offer. ,Yes,Yes,Yes,Yes,A lot,Yes,,,
2024/10/02 8:43:14 AM GMT+3,18-22,Male,UACE certificate,Student,Engineering,Civil engineer ,Yes,Family,Communication skills as well as project management ,Skill development,Lack of information,Family,Online tools,Somewhat comfortable,Satisfied,Important,Skill assessment;Job matching,Data privacy,Neutral,Information is key,Yes,Yes,Yes,Yes,Some,Yes,,,
2024/10/02 8:44:44 AM GMT+3,23-28,Male,Bachelor’s degree,Employed,Bioinformatics ,Data Science ,Yes,School,Data analysis ,Skill development,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Dissatisfied,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy,Likely,It's importance should be emphasized at every level of leadership and society. ,Yes,No,Yes,No,None,Yes,,,
2024/10/02 8:44:48 AM GMT+3,18-22,Male,Bachelor’s degree,Student,Information Technology ,Software engineer ,Yes,School,Programming,Skill development,Limited opportunities,Internet,One-on-one counseling,Not comfortable,Dissatisfied,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Accuracy;Access,Very likely,Educating people about the importance of career guidance.,Maybe,Yes,Yes,No,A lot,Sometimes,,,
2024/10/02 8:45:02 AM GMT+3,23-28,Male,Bachelor’s degree,Employed,Mathematics and optimisation ,Finance ,Yes,Family,Computer skills ,Job search,Financial constraints,Internet,One-on-one counseling,Very comfortable,Neutral,Very important,Skill assessment,Access,Very likely,,Yes,Yes,Yes,No,A lot,Yes,,,
2024/10/02 8:47:13 AM GMT+3,23-28,Female,Bachelor’s degree,Student,The Law,Writing ,Yes,School,Communication ,Skill development,Limited opportunities,Internet,Workshops,Somewhat comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Resource library,Data privacy;Access,Likely,,Yes,Maybe,Yes,Yes,A lot,Yes,,,
2024/10/02 8:47:26 AM GMT+3,23-28,Male,Bachelor’s degree,Employed,Computing ,Game developer ,Yes,Career guidance counselor,Computer literature ,Job search,Limited opportunities,Internet,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy,Likely,Tailor the guidance to thr passion of the person,No,Maybe,Yes,No,A lot,Yes,,,
2024/10/02 8:48:04 AM GMT+3,18-22,Female,UACE certificate,Student,Law,Judicial officer,Yes,School,Confidence ,Skill development,Limited opportunities,Internet,Workshops,Somewhat comfortable,Neutral,Important,Resource library,Data privacy,Likely,More workshops ,Yes,No,Maybe,Yes,A lot,Yes,,,
2024/10/02 8:48:47 AM GMT+3,23-28,Male,Bachelor’s degree,Employed,Software Engineer,Software Engineering,Yes,School,Programming and analytical thinking,Skill development,Lack of information,Internet,One-on-one counseling,Very comfortable,Very satisfied,Very important,Personalized recommendations;Skill assessment;Job matching,Accuracy,Neutral,,Yes,No,Yes,Yes,A lot,Yes,,,
2024/10/02 8:55:03 AM GMT+3,23-28,Male,Bachelor’s degree,Student,Quantitative Economics,Researcher & Analyst,Yes,Family,Data Analysis,Skill development,Limited opportunities,Internet,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Resource library,Data privacy;Access,Very likely,It should start at an early age.,Yes,Yes,No,Yes,Some,Yes,,,
2024/10/02 8:57:35 AM GMT+3,18-22,Female,Bachelor’s degree,Student,THE HOTEL,FRONT OFFICE,Maybe,School,RECORD KEEPING ,Skill development,PARTICULAR PEOPLE ATTAIN THIS INFORMATION AND NOT OTHERS,Teachers,Workshops,Somewhat comfortable,Very dissatisfied,Very important,Job matching,Access,Neutral,MORE WORKSHOPS SHOULD BE ORGANIZED HONESTLY,Maybe,Yes,Yes,Yes,Some,Yes,,,
2024/10/02 9:00:00 AM GMT+3,23-28,Male,Bachelor’s degree,Employed,Real Estate ,Real estate developer,Yes,School,Sales ,Skill development,Financial constraints,Internet,Online tools,Very comfortable,Satisfied,Very important,Personalized recommendations,Data privacy,Likely,High priority should be focused on making it very accessible to everyone including those without Internet access ,Yes,No,Yes,No,Some,Yes,,,
2024/10/02 9:00:39 AM GMT+3,18-22,Female,Bachelor’s degree,Employed,Hospitality,,Yes,School,Interpersonal skills,Skill development,Lack of information,Internet,Workshops,Somewhat comfortable,Neutral,Very important,Resource library,Accuracy,Likely,Guidance should be offered when people are still young. It's more helpful then.,Yes,No,Maybe,No,Some,Yes,,,
2024/10/02 9:01:54 AM GMT+3,18-22,Male,Bachelor’s degree,Employed,Software engineering,Software engineer ,Yes,School,Communication,Skill development,Lack of information,Internet,Online tools,Very comfortable,Satisfied,Important,Personalized recommendations;Skill assessment;Job matching,Data privacy,Likely,,Maybe,No,No,Yes,Some,Yes,,,
2024/10/02 9:03:44 AM GMT+3,23-28,Female,Bachelor’s degree,Employed,,,Yes,Career guidance counselor,Accuracy ,Choosing a career,Financial constraints,Internet,Workshops,Very comfortable,Satisfied,Very important,Skill assessment,Access,Very likely,Creating more awareness ,Yes,No,Yes,No,A lot,Yes,,,
2024/10/02 9:08:32 AM GMT+3,23-28,Female,Bachelor’s degree,Employed,,,No,Family,Legal skills,Choosing a career,Lack of information,Internet,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations,Data privacy,Very likely,,Yes,Maybe,No,No,A lot,Yes,,,
2024/10/02 9:17:49 AM GMT+3,18-22,Female,Bachelor’s degree,Unemployed,,Professional Accountant,Yes,Family,Mathematical skills,Choosing a career,Financial constraints,Internet,Workshops,Very comfortable,Satisfied,Important,Job matching,Accuracy,Neutral,,Yes,Yes,Yes,No,Some,Yes,,,
2024/10/02 9:20:17 AM GMT+3,18-22,Male,Bachelor’s degree,Unemployed,Bachelor of Commerce ,Financial analysis ,Yes,School,"Maths, accounting, observation",Skill development,Lack of clarity ,Internet,Online tools,Somewhat comfortable,Neutral,Important,Personalized recommendations;Skill assessment;Resource library,Data privacy,Neutral,Diversify,Maybe,Maybe,Maybe,Yes,Some,Yes,,,
2024/10/02 9:24:39 AM GMT+3,23-28,Female,Bachelor’s degree,Employed,,,Yes,School,"Leadership skills 
",Further education,Financial constraints,Internet,One-on-one counseling,Very comfortable,Satisfied,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy;Accuracy,Very likely,,Yes,No,Yes,No,Some,Yes,,,
2024/10/02 9:33:53 AM GMT+3,23-28,Female,Bachelor’s degree,Student,Post Graduate Diploma in Legal Practice ,Legal career ,Yes,School,"Impeccable interpersonal skills to build relationships with clients and colleagues. Adaptability to varying degrees of stressful situations.
The ability to think on your feet.
Excellent research and writing skills.",Further education,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Personalized recommendations,Data privacy,Likely,Accessibility to all regardless of whether it is online or by a designated counselor. Everyone should be able to access the services. ,Yes,Yes,Yes,Yes,Some,Yes,,,
2024/10/02 9:35:31 AM GMT+3,23-28,Male,Bachelor’s degree,Employed,Accounting and finance,Accountant,Yes,School,Operating accounting systems,Skill development,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Important,Personalized recommendations;Skill assessment,Access,Likely,,Yes,No,Yes,No,Some,Yes,,,
2024/10/02 9:41:47 AM GMT+3,18-22,Male,UACE certificate,Student,Law ,Judicial officer ,Yes,Family,Oratory and research skills ,Further education,Limited opportunities,Teachers,One-on-one counseling,Not comfortable,Satisfied,Very important,Personalized recommendations,Data privacy;Accuracy,Likely,"Peer to peer counseling should be done rather than peer to mentor, sometimes you have to hear the side of an upperclassman rather than a lecturer ",Yes,Yes,Yes,No,A lot,Yes,,,
2024/10/02 9:42:14 AM GMT+3,18-22,Female,Bachelor’s degree,Unemployed,,,Yes,School,IT skills ,Choosing a career,Lack of information,Internet,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy;Accuracy;Access,Very likely,,Yes,Yes,Yes,No,A lot,Yes,,,
2024/10/02 9:45:01 AM GMT+3,29-35,Female,Bachelor’s degree,Employed,,,Yes,School,Technical skills ,Further education,Limited opportunities,Internet,Workshops,Very comfortable,Neutral,Very important,Skill assessment;Job matching,Accuracy,Very likely,Carre guidance should be done often as there is a mindset shift every now and then.,Yes,No,Maybe,Not sure,Some,Yes,,,
2024/10/02 9:54:27 AM GMT+3,18-22,Female,Bachelor’s degree,Unemployed,Computer science ,Network Engineer ,Maybe,School,Cisco networking skills,Further education,Limited opportunities,Family,One-on-one counseling,Somewhat comfortable,Neutral,Important,Personalized recommendations;Skill assessment;Job matching,Data privacy,Likely,,Yes,Yes,No,No,None,Yes,,,
2024/10/02 9:54:51 AM GMT+3,23-28,Female,Bachelor’s degree,Employed,,,Yes,Family,Technical skills ,Skill development,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Skill assessment,Data privacy,Likely,Improving technology ,Yes,No,Yes,No,None,Yes,,,
2024/10/02 9:55:22 AM GMT+3,18-22,Female,Bachelor’s degree,Employed,Statistics,Business management,Yes,Online,Mathematical skills,Skill development,Financial constraints,Internet,Online tools,Somewhat comfortable,Neutral,Very important,Personalized recommendations,Data privacy,Very likely,Provide more physical guidance services,Yes,No,Yes,No,A lot,Yes,,,
2024/10/02 9:55:51 AM GMT+3,23-28,Male,Bachelor’s degree,Employed,Software Engineering,Data Scientist,Yes,Online,"critical thinking, creativity, attention to detail",Further education,Lack of information,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Accuracy,Likely,,Yes,No,No,No,Some,Yes,,,
2024/10/02 9:56:50 AM GMT+3,18-22,Female,Bachelor’s degree,Student,Software engineering ,Something in tech ,Yes,Family,Coding skills ,Skill development,Lack of information,Family,One-on-one counseling,Very comfortable,Dissatisfied,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy;Accuracy,Likely,Spreading Awareness of availability ,Yes,Yes,Maybe,Not sure,Some,Yes,,,
2024/10/02 9:57:32 AM GMT+3,18-22,Female,Bachelor’s degree,Employed,Computer Science,Refer to previous,Yes,School,Communication,Skill development,Lack of information,Internet,Workshops,Very comfortable,Neutral,Very important,Personalized recommendations,Data privacy,Neutral,,Yes,No,No,No,Some,Yes,,,
2024/10/02 10:16:26 AM GMT+3,18-22,Male,UACE certificate,Student,"Java, Rust, MoonBit and AI",Software engineer and crypto trader,Yes,School,Coding and market analysis,Job search;Further education;Skill development,Lack of information;Financial constraints;Limited opportunities,Family;Internet;Teachers,Online tools,Very comfortable,Satisfied,Important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy;Accuracy,Neutral,,Maybe,Maybe,Yes,Not sure,None,Yes,,,
2024/10/02 10:24:01 AM GMT+3,23-28,Female,Bachelor’s degree,Employed,,,Yes,School,Accounting skills ,Skill development,Limited opportunities,Internet,One-on-one counseling,Very comfortable,Very satisfied,Very important,Skill assessment,Data privacy;,Very likely,More computers,Yes,Yes,Yes,No,A lot,Yes,,,
2024/10/02 10:29:02 AM GMT+3,18-22,Male,UACE certificate,Employed,Stat and math,Film,Yes,Family,Creativity ,Skill development,Lack of information,Internet,Workshops,Somewhat comfortable,Neutral,Very important,Resource library,It goes evil and the Terminator Apocalypse begins.,Very likely,Better Education ,Yes,Yes,Yes,Yes,A lot,Yes,,,
2024/10/02 10:47:52 AM GMT+3,23-28,Male,Bachelor’s degree,Unemployed,,,Maybe,Online,Job search,Choosing a career;Job search,Financial constraints;Limited opportunities,Internet,Online tools,Very comfortable,Neutral,Important,Skill assessment;Job matching,Data privacy,Likely,,No,Yes,Yes,No,A lot,Yes,,,
2024/10/02 10:48:30 AM GMT+3,23-28,Female,Bachelor’s degree,Employed,,,Yes,School,Communication and managerial skills,Skill development,Financial constraints,Internet,Online tools,Very comfortable,Satisfied,Very important,Personalized recommendations;Skill assessment;Resource library,Data privacy,Very likely,"Career guidance services should start at a very early age for children, focusing on skill development and not necessarily on career paths. Later on, their interests can be identified to help them hone specific skills in line with those interests even more.",Yes,No,Yes,Yes,Some,Yes,,,
2024/10/02 10:48:47 AM GMT+3,29-35,Female,Bachelor’s degree,Employed,Post graduate diploma in Dance,Management and performing art,Yes,Career guidance counselor,"Creative thinking, great human and resource managerial skills, computer skills, interpersonal skills, leadership skills, marketing skills, listening and writing skills, story telling, research skills...",Job search;Further education;Skill development,Lack of information;Financial constraints,Internet;Teachers,One-on-one counseling,Very comfortable,Dissatisfied,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy,Very likely,Available easy access to vast information on career guidance on different platforms. ,Yes,Maybe,Yes,No,Some,Yes,,,
2024/10/02 11:04:52 AM GMT+3,23-28,Female,Bachelor’s degree,Student,Law,Law,No,Career guidance counselor,Reading,Job search;Further education;Skill development,Financial constraints;Limited opportunities,Internet,Workshops,Very comfortable,Dissatisfied,Very important,Resource library,Accuracy,Very likely,Wider library,Yes,Yes,Maybe,No,Some,Yes,,,
2024/10/02 11:05:30 AM GMT+3,18-22,Male,UACE certificate,Student,Economics ,,Maybe,School,Speaking ,Skill development,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Important,Personalized recommendations,Accuracy,Likely,,Maybe,Yes,Maybe,No,Some,Yes,,,
2024/10/02 11:08:05 AM GMT+3,23-28,Female,Bachelor’s degree,Employed,,Events Planning ,Yes,School,Social skills ,Skill development,Financial constraints,Internet,Workshops,Very comfortable,Neutral,Very important,Skill assessment,Data privacy,Neutral,,Yes,Maybe,Yes,No,Some,Yes,,,
2024/10/02 11:09:59 AM GMT+3,18-22,Male,UACE certificate,Student,Medicine ,Medicine ,No,,Public relations ,Job search,Lack of information,Internet,One-on-one counseling,Very comfortable,Very satisfied,Very important,Personalized recommendations,Data privacy,Very likely,,Yes,Yes,Yes,Yes,None,No,,,
2024/10/02 11:16:28 AM GMT+3,23-28,Female,Bachelor’s degree,Unemployed,Journalism and communication ,I don’t know ,Yes,School,Communication skills ,Choosing a career;Job search;Further education,Lack of information;Financial constraints;Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Important,Personalized recommendations;Job matching;Resource library,Data privacy,Very likely,,Yes,Yes,Yes,No,None,Yes,,,
2024/10/02 11:16:53 AM GMT+3,23-28,Female,Bachelor’s degree,Unemployed,,,Yes,School,Understanding ,Choosing a career;Skill development,Lack of information,Internet,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Resource library,Data privacy,Likely,,Yes,Yes,Maybe,Yes,None,Yes,,,
2024/10/02 11:17:53 AM GMT+3,23-28,Male,Bachelor’s degree,Employed,,,Yes,Family,Creativity,Skill development,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Satisfied,Important,Skill assessment,Data privacy;Access,Likely,,Yes,Yes,Yes,Not sure,Some,Yes,,,
2024/10/02 11:17:59 AM GMT+3,18-22,Female,UACE certificate,Student,Degree of law,Law,No,,Hardwork,Choosing a career,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Very dissatisfied,Very important,Personalized recommendations,Accuracy,Not likely,,Yes,Yes,Maybe,No,Some,Sometimes,,,
2024/10/02 11:19:13 AM GMT+3,23-28,Female,Bachelor’s degree,Unemployed,,microbiology,Maybe,School,knowing your strengths and weaknesses ,Further education;Skill development,Lack of information;Limited opportunities,Family,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Skill assessment,Data privacy;Accuracy,Neutral,,Maybe,Yes,No,Yes,Some,Yes,,,
2024/10/02 11:30:40 AM GMT+3,29-35,Female,Bachelor’s degree,Employed,,,Yes,School,public speaking and creativity ,Skill development,Lack of information,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Skill assessment,Data privacy;Accuracy,Likely,,Yes,No,Yes,No,None,Yes,,,
2024/10/02 11:57:30 AM GMT+3,23-28,Female,UACE certificate,Student,Software engineering ,Developer ,No,,Problem solving ,Job search,Limited opportunities,Internet,Online tools,Very comfortable,Neutral,Important,Personalized recommendations,Data privacy,Likely,,Maybe,Yes,Maybe,Yes,A lot,Yes,,,
2024/10/02 12:08:01 PM GMT+3,23-28,Male,Bachelor’s degree,Employed,,,Yes,School,Analytical skills ,Choosing a career,Financial constraints,Internet,One-on-one counseling,Very comfortable,Very satisfied,Very important,Personalized recommendations;Skill assessment;Resource library,Data privacy;Accuracy,Likely,Having information about what is entailed in the careers from practicing professionals ,Yes,Yes,Maybe,Yes,None,Yes,,,
2024/10/02 12:16:57 PM GMT+3,23-28,Female,Bachelor’s degree,Unemployed,Accounting,Accounting,Yes,Family,"Acca, cpa, mba ",Choosing a career;Job search,Limited opportunities,Family;Internet,Online tools,Very comfortable,Neutral,Important,Personalized recommendations;Skill assessment;Job matching;Resource library;Employers!!,Data privacy;Accuracy,Very likely,We need jobs!! We need money!!! Twaggala ssente!!!,Yes,Yes,Yes,No,Some,Yes,,,
2024/10/02 12:21:07 PM GMT+3,23-28,Male,UACE certificate,Student,Civil engineering ,A career in civil engineering ,Yes,Online,Problem solving skills and innovation,Job search;Further education,Lack of information;Financial constraints,Family;Internet;Teachers,Workshops,Very comfortable,Dissatisfied,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy;Accuracy,Very likely,Make them accessible earlier to the population,Yes,Yes,Yes,No,A lot,Yes,,,
2024/10/02 12:31:29 PM GMT+3,18-22,Female,Bachelor’s degree,Student,Economics ,Economist,Yes,School,"IT, analytical and critical thinking ",Choosing a career;Further education,Limited opportunities,Internet,One-on-one counseling,Very comfortable,Dissatisfied,Very important,Skill assessment,Accuracy,Very likely,They should start earlier before one messes up ,Yes,Yes,Maybe,Not sure,Some,Yes,,,
2024/10/02 12:40:57 PM GMT+3,23-28,Male,Bachelor’s degree,Employed,,Design in Engineering ,Yes,School,Design and Engineering ,Further education;Skill development,Lack of information;Financial constraints;Limited opportunities,Internet,One-on-one counseling,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy;Accuracy;Access,Likely,,Yes,No,Yes,No,Some,Yes,,,
2024/10/02 12:46:57 PM GMT+3,23-28,Female,Bachelor’s degree,Student,Law,ADR Litigator,Yes,School,Networking skills and a reading culture,Job search;Further education;Skill development,Lack of information,Internet,One-on-one counseling,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Access,Very likely,,Yes,Yes,Yes,No,None,Yes,,,
2024/10/02 12:53:52 PM GMT+3,29-35,Female,Master’s degree,Employed,,Psychology ,Yes,Family,"People/Interpersonal Skills, Communication Skills, Counseling Skills ",Skill development,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Satisfied,Very important,Resource library,Accuracy,Neutral,It should be offered at an age not when people are about to join University ,Maybe,Yes,Yes,No,Some,Yes,,,
2024/10/02 2:06:34 PM GMT+3,18-22,Male,Bachelor’s degree,Student,Stockd,Finance,Maybe,Career guidance counselor,Data Science,Skill development,Financial constraints,Internet,Online tools,Not comfortable,Neutral,Important,Skill assessment;Job matching;Resource library,Data privacy;Accuracy,Neutral,More advertisement,No,No,Maybe,Not sure,Some,Yes,,,
2024/10/02 2:14:37 PM GMT+3,18-22,Male,UACE certificate,Student,Medicine ,Surgery ,Maybe,School,Persistence ,Choosing a career,Lack of information,Internet,One-on-one counseling,Somewhat comfortable,Dissatisfied,Very important,Personalized recommendations,Accuracy,Likely,,Yes,Yes,Yes,No,Some,Yes,,,
2024/10/02 2:43:27 PM GMT+3,23-28,Female,Bachelor’s degree,Employed,,,Yes,School,People management skills,Skill development,Limited opportunities,Internet,Workshops,Somewhat comfortable,Neutral,Very important,Job matching,Data privacy,Neutral,,Yes,No,Yes,No,A lot,Yes,,,
2024/10/02 5:02:39 PM GMT+3,23-28,Female,Bachelor’s degree,Employed,Public Health,A career in Public Health Nutrition,Yes,Online,"Team work, Research skills, Program Evaluation skills",Job search;Skill development,Lack of information,Internet;Teachers,Workshops,Very comfortable,Satisfied,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy,Likely,"Matching professionals in the field with job seekers, so they can learn from each other",Yes,Yes,No,Yes,None,Yes,,,
2024/10/02 5:34:56 PM GMT+3,23-28,Male,UACE certificate,Student,software,cloud engineer,Yes,Online,computer related skills,Skill development,Financial constraints,Internet,Online tools,Very comfortable,Neutral,Neutral,Personalized recommendations;Job matching,Data privacy,Likely,,No,Yes,Yes,No,None,Yes,,,
2024/10/02 6:01:30 PM GMT+3,23-28,Female,Bachelor’s degree,Employed,,Fashion and design alongside psychologist ,Yes,School,Communication empowerment and leadership skills ,Skill development,Limited opportunities;Not having connecrions everywhere d is a problem in this country ,Family;Internet,Online tools,Somewhat comfortable,Neutral,Important,Skill assessment;Job matching;Resource library,Data privacy,Neutral,I think be truthful because most people end up doing totally different jobs or careers than they would have hoped or studied to do because it's what they can actually get,Yes,Yes,Yes,Yes,Some,Yes,,,
2024/10/02 6:26:42 PM GMT+3,18-22,Female,Bachelor’s degree,Student,Software engineering,Desire on to know of the current trends,Maybe,School,Programing skills,Skill development,Financial constraints,Internet,Workshops,Very comfortable,Neutral,Very important,Skill assessment,Data privacy,Neutral,Research,Yes,Yes,Maybe,No,A lot,Yes,,,
2024/10/02 6:31:45 PM GMT+3,23-28,Male,UACE certificate,Student,Bachelor of Science in psychology ,Medical doctor ,Yes,School,Interpersonal communication ,Choosing a career;Further education,Financial constraints,Internet,Workshops,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment,Accuracy,Likely,Provide information about both old and new generation careers. Some careers are dying out and new ones are being created.,Yes,No,Yes,No,Some,Yes,,,
